Embout,Dc,Q_off,Q_on,,,,,,,,,,,,
V,10,,1,,,,,,,,,,,,
V,10,,0.5,,,,,,,,,,,,
V,10,,0.8,,,,,,,,,,,,
V,10,3,,,,,,,,,,,,,
V,10,2,,,,,,,,,,,,,
V,10,1.5,,,,,,,,,,,,,
V,10,,1.25,,,,,,,,,,,,         
V,10,,1.4,,,,,,,,,,,,
V,10,,1.45,,,,,,,,,,,,
V,10,1.48,,,,,,,,,,,,,
V,8,3,,,,,,,,,,,,,
V,8,,1,,,,,,,,,,,,
V,8,1.5,,,,,,,,,,,,,
V,8,1.2,,,,,,,,,,,,,
V,8,1.1,,,,,,,,,,,,,
V,8,1.05,,,,,,,,,,,,,
V,5,1,,,,,,,,,,,,,
V,5,1.1,,,,,,,,,,,,,
V,5,,0.9,,,,,,,,,,,,
V,5,2,,,,,,,,,,,,,
V,5,,0.5,,,,,,,,,,,,
R,10,2,,,,,,,,,,,,,
R,10,1,,,,,,,,,,,,,
R,10,1.5,,,,,,,,,,,,,
R,10,1.1,,,,,,,,,,,,,
R,10,,0.9,,,,,,,,,,,,
R,10,0.91,,,,,,,,,,,,,
R,10,,0.5,,,,,,,,,,,,
R,10,,0.7,,,,,,,,,,,,
R,10,,0.8,,,,,,,,,,,,
R,8,2,,,,,,,,,,,,,
R,8,1,,,,,,,,,,,,,
R,8,,0.5,,,,,,,,,,,,
R,8,0.75,,,,,,,,,,,,,
R,8,,0.6,,,,,,,,,,,,
R,8,,0.7,,,,,,,,,,,,
R,8,,0.74,,,,,,,,,,,,
R,5,1,,,,,,,,,,,,,
R,5,,0.5,,,,,,,,,,,,
R,5,0.75,,,,,,,,,,,,,
R,5,0.8,,,,,,,,,,,,,
R,5,,0.6,,,,,,,,,,,,
R,5,0.7,,,,,,,,,,,,,
R,5,0.65,,,,,,,,,,,,,
N,10,,1,,,,,,,,,,,,
N,10,3,,,,,,,,,,,,,
N,10,2,,,,,,,,,,,,,
N,10,,1.5,,,,,,,,,,,,
N,10,,1.6,,,,,,,,,,,,
N,10,,1.8,,,,,,,,,,,,
N,10,,1.9,,,,,,,,,,,,
N,10,,1.95,,,,,,,,,,,,
N,8,2,,,,,,,,,,,,,
N,8,,1,,,,,,,,,,,,
N,8,,0.75,,,,,,,,,,,,
N,8,,1.5,,,,,,,,,,,,
N,8,,1.6,,,,,,,,,,,,
N,8,,1.8,,,,,,,,,,,,
N,8,1.9,,,,,,,,,,,,,
N,5,,1,,,,,,,,,,,,
N,5,2,,,,,,,,,,,,,
N,5,,1.5,,,,,,,,,,,,
N,5,,1.4,,,,,,,,,,,,
N,5,1.6,,,,,,,,,,,,,
N,5,1.55,,,,,,,,,,,,,
