Embout,Dc,Q_off,Q_on
R,8,1,0
R,8,0.9,0
R,8,0.85,0
R,8,0,0.82
R,8,0,0.8
R,8,0,0.7
R,6,1.25,0
R,6,1,0
R,6,0.75,0
R,6,0.7,0
R,6,0,0.65
R,6,0,0.6
R,6,0,0.5
R,4,1,0
R,4,0.7,0
R,4,0.62,0
R,4,0,0.6
R,4,0,0.58
R,4,0,0.5
V,4,1.5,0
V,4,1.25,0
V,4,1.1,0
V,4,1.05,0
V,4,0,1
V,4,0,0.5
V,6,2,0
V,6,1.5,0
V,6,1.25,0
V,6,1.2,0
V,6,0,1.1
V,6,0,1
V,6,0,0.5
V,8,3,0
V,8,2,0
V,8,1.5,0
V,8,1.45,0
V,8,0,1.4
V,8,0,1.25
V,8,0,1
V,10,3,0
V,10,2,0
V,10,1.55,0
V,10,1.5,0
V,10,0,1.45
V,10,0,1
N,10,4,0
N,10,0,2
N,10,0,1
N,10,3,0
N,10,2.5,0
N,10,0,2.25
N,10,0,2.4
N,8,0,1
N,8,4,0
N,8,3,0
N,8,0,2
N,8,2.25,0
N,6,0,1
N,6,2,0
N,6,0,1.5
N,6,0,1.75
N,4,0,1
N,4,2,0
N,4,0,1.5
N,4,1.75,0
