Embout,Dc,Angle,Q_off,Q_on
R,8,33.5,1,0
R,8,33.5,0.9,0
R,8,33.5,0.85,0
R,8,33.5,0,0.82
R,8,33.5,0,0.8
R,8,33.5,0,0.7
R,6,33.5,1.25,0
R,6,33.5,1,0
R,6,33.5,0.75,0
R,6,33.5,0.7,0
R,6,33.5,0,0.65
R,6,33.5,0,0.6
R,6,33.5,0,0.5
R,4,33.5,1,0
R,4,33.5,0.7,0
R,4,33.5,0.62,0
R,4,33.5,0,0.6
R,4,33.5,0,0.58
R,4,33.5,0,0.5
V,4,33.5,1.5,0
V,4,33.5,1.25,0
V,4,33.5,1.1,0
V,4,33.5,1.05,0
V,4,33.5,0,1
V,4,33.5,0,0.5
V,6,33.5,2,0
V,6,33.5,1.5,0
V,6,33.5,1.25,0
V,6,33.5,1.2,0
V,6,33.5,0,1.1
V,6,33.5,0,1
V,6,33.5,0,0.5
V,8,33.5,3,0
V,8,33.5,2,0
V,8,33.5,1.5,0
V,8,33.5,1.45,0
V,8,33.5,0,1.4
V,8,33.5,0,1.25
V,8,33.5,0,1
V,10,33.5,3,0
V,10,33.5,2,0
V,10,33.5,1.55,0
V,10,33.5,1.5,0
V,10,33.5,0,1.45
V,10,33.5,0,1
N,10,33.5,4,0
N,10,33.5,0,2
N,10,33.5,0,1
N,10,33.5,3,0
N,10,33.5,2.5,0
N,10,33.5,0,2.25
N,10,33.5,0,2.4
N,8,33.5,0,1
N,8,33.5,4,0
N,8,33.5,3,0
N,8,33.5,0,2
N,8,33.5,2.25,0
N,6,33.5,0,1
N,6,33.5,2,0
N,6,33.5,0,1.5
N,6,33.5,0,1.75
N,4,33.5,0,1
N,4,33.5,2,0
N,4,33.5,0,1.5
N,4,33.5,1.75,0
R,8,21,0,1
R,8,21,1.2,0
R,8,21,1.4,0
R,8,21,0,0.5
R,8,21,0,0.6
R,8,21,0,0.8
R,8,21,0,0.9
R,8,21,1.5,0
R,8,21,1.3,0
R,8,26.5,0,1
R,8,26.5,1.2,0
R,8,26.5,1.1,0
R,8,65,1,0
R,8,65,0.8,0
R,8,65,0,0.6
R,8,65,0,0.7
R,8,65,0.7,0
R,8,65,0,0.5
R,8,65,1.2,0
R,8,90,1,0
R,8,90,0.8,0
R,8,90,0,0.6
R,8,90,0.7,0
R,8,90,0.65,0
R,8,55,1,0
R,8,55,0.8,0
R,8,55,0,0.7
R,8,55,0,0.75
R,8,80,1,0
R,8,80,0.8,0
R,8,80,0,0.6
R,8,80,0,0.65
R,8,80,0.7,0
R,8,80,0.75,0
R,8,133,1,0
R,8,133,0.8,0
R,8,133,0,0.6
R,8,133,0.7,0
R,8,133,0,0.65
R,8,143,1,0
R,8,143,0,0.8
R,8,143,0.9,0.9
R,8,143,0.95,0
R,8,152,0,1
R,8,152,1.2,0
R,8,152,1.1,1.1
R,8,104,1,0
R,8,104,0.8,0
R,8,104,1.2,0
R,8,104,0,0.6
R,8,104,0,0.5
R,8,104,0.7,0
R,8,112,0.7,0
R,8,112,0,0.6
R,8,112,0.65,0
R,8,33,0.85,0
R,8,33,0,0.82
R,8,52,0,0.6
R,8,52,0.8,0
R,8,52,0,0.7
